"N. parte","Envios","Bult","F. Albaran","Orig.","Dest.","Propi.","Serv.","Abonado","Tipo","Estado","Gestor","Resolución","Fecha parte","F.Resolución","Tiempo","Acción"
"PP-20-078571","043085471802 Extraviado(Criterio temporal)","1","18-12-20","04308 - ALDAIA","00902 - NAVALMORAL MATA","04308 - ALDAIA","U19E","CECOTEC INNOVACIONES SL","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","28-12-20","28-12-20","","https://wilsonapp.tech/frontend/partes_perdida/edit/108556"
"PP-20-078572","005011121964 Pendiente: RecogidaFinalizada, AE0700, No recibido","1","21-12-20","00501 - MERIDA","04204 - ILLESCAS","00501 - MERIDA","ECOM","JOSE ANTONIO VINAGRE SALGUERO","Pérdida","Pendiente información","DPTO SEGURIDAD BARAJAS","1 / 1","28-12-20","28-12-20","","https://wilsonapp.tech/frontend/partes_perdida/edit/108557"
"PP-20-078582","043085471803 Extraviado(Criterio temporal)","1","18-12-20","04308 - ALDAIA","01801 - AZUQUECA DE HENARES","04308 - ALDAIA","U19E","CECOTEC INNOVACIONES SL","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","28-12-20","28-12-20","","https://wilsonapp.tech/frontend/partes_perdida/edit/108567"
"PP-20-078617","01007A002818 Entregado","1","26-12-20","01007 - SAN FERNANDO","02670 - MADRID 28037","02670 - MADRID 28037","U19E","EL CORTE INGLES SA","Pérdida","Pendiente información","DPTO SEGURIDAD BARAJAS","1 / 1","28-12-20","28-12-20","","https://wilsonapp.tech/frontend/partes_perdida/edit/108602"
"PP-20-078628","03806A002985 Extraviado(Criterio temporal)","1","17-12-20","03806 - ALCALA GUADAIRA","02621 - MADRID 28010","03806 - ALCALA GUADAIRA","U19E","ENVASES Y CAJAS SA","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","28-12-20","28-12-20","","https://wilsonapp.tech/frontend/partes_perdida/edit/108613"
"PP-20-078665","02657A003850 Extraviado(Criterio temporal)","2","17-12-20","02657 - MADRID 28022","02633 - MADRID 28027","02657 - MADRID 28022","ECOM","ESTEE LAUDER SA","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","28-12-20","28-12-20","","https://wilsonapp.tech/frontend/partes_perdida/edit/108650"
"PP-20-078696","043085472838 Entregado","2","18-12-20","04308 - ALDAIA","02620 - MADRID 28015","04308 - ALDAIA","U19E","CECOTEC INNOVACIONES SL","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","0 / 1","28-12-20","","","https://wilsonapp.tech/frontend/partes_perdida/edit/108681"
"PP-20-078700","043085241338 Entregado","2","18-12-20","04308 - ALDAIA","02647 - MADRID 28042","04308 - ALDAIA","U19E","CECOTEC INNOVACIONES SL","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","28-12-20","28-12-20","","https://wilsonapp.tech/frontend/partes_perdida/edit/108685"
"PP-20-078703","028093062845 Entregado","1","21-12-20","02809 - ALGUAZAS","04200 - TOLEDO","02809 - ALGUAZAS","U19E","MARVIMUNDO, S.L.","Pérdida","Pendiente información","DPTO SEGURIDAD BARAJAS","1 / 1","28-12-20","28-12-20","","https://wilsonapp.tech/frontend/partes_perdida/edit/108688"
"PP-20-078716","024004811938 Entregado","6","21-12-20","02400 - AGONCILLO (WURTH)","02602 - TORREJON DE ARDOZ","02400 - AGONCILLO (WURTH)","U19E","WURTH ESPAÑA S.A.","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","28-12-20","30-12-20","","https://wilsonapp.tech/frontend/partes_perdida/edit/108701"
"PP-20-078721","026015248668 Pendiente: TransitoInternoEntrega, ,","1","21-12-20","02601 - GETAFE 28906","00902 - NAVALMORAL MATA","02601 - GETAFE 28906","ECOM","Media Markt Villaverde (E229","Pérdida","Pendiente información","DPTO SEGURIDAD BARAJAS","1 / 1","28-12-20","28-12-20","","https://wilsonapp.tech/frontend/partes_perdida/edit/108706"
"PP-20-078725","01903A003939 Pendiente: TransitoInternoEntrega, AE0700, No recibido","1","22-12-20","01903 - AYAMONTE","02609 - POZUELO ALARCÓN 28223","01903 - AYAMONTE","U14E","P Y M LA ALBURRACA","Pérdida","Pendiente información","DPTO SEGURIDAD BARAJAS","1 / 1","28-12-20","28-12-20","","https://wilsonapp.tech/frontend/partes_perdida/edit/108710"
"PP-20-078731","026500319364 Extraviado(Criterio temporal)","1","15-12-20","02650 - SAN SEBASTIAN DE LOS REYES","02638 - MADRID 28029","02650 - SAN SEBASTIAN DE LOS REYES","U14E","ALRO,S.L.","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","28-12-20","28-12-20","","https://wilsonapp.tech/frontend/partes_perdida/edit/108716"
"PP-20-078750","024004809021 Entregado","1","21-12-20","02400 - AGONCILLO (WURTH)","04200 - TOLEDO","02400 - AGONCILLO (WURTH)","U19E","WURTH ESPAÑA S.A.","Pérdida","Pendiente información","DPTO SEGURIDAD BARAJAS","1 / 1","28-12-20","28-12-20","","https://wilsonapp.tech/frontend/partes_perdida/edit/108735"
"PP-20-078783","038282113790 Pendiente: TransitoInternoEntrega, AE0700, No recibido","1","21-12-20","03828 - SEVILLA 41010","02651 - LAS ROZAS","03828 - SEVILLA 41010","ECOM","LEKKER X SPORT S.L.","Pérdida","Respuesta info recibida","DPTO SEGURIDAD BARAJAS","1 / 1","28-12-20","28-12-20","","https://wilsonapp.tech/frontend/partes_perdida/edit/108768"
"PP-20-078790","027005277245 Extraviado(Criterio temporal)","1","14-12-20","02700 - MALAGA 29006","00902 - NAVALMORAL MATA","02700 - MALAGA 29006","ECOM","ROSA CREMA SL","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","28-12-20","28-12-20","","https://wilsonapp.tech/frontend/partes_perdida/edit/108775"
"PP-20-078795","038063320157 Extraviado(Criterio temporal)","1","14-12-20","03806 - ALCALA GUADAIRA","01800 - GUADALAJARA","03806 - ALCALA GUADAIRA","ECOM","ZARA ESPAÑA, S.A.","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","28-12-20","28-12-20","","https://wilsonapp.tech/frontend/partes_perdida/edit/108780"
"PP-20-078797","006157081396 Extraviado(Criterio temporal)","1","17-12-20","00615 - HOSPITALET 08908","02661 - RIVAS VACIAMADRID","00615 - HOSPITALET 08908","ECOM","MEDIA MARKT SATURN L`HOSPITALE","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","28-12-20","28-12-20","","https://wilsonapp.tech/frontend/partes_perdida/edit/108782"
"PP-20-078799","038063319893 Extraviado(Criterio temporal)","1","14-12-20","03806 - ALCALA GUADAIRA","01800 - GUADALAJARA","03806 - ALCALA GUADAIRA","ECOM","ZARA ESPAÑA, S.A.","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","28-12-20","28-12-20","","https://wilsonapp.tech/frontend/partes_perdida/edit/108784"
"PP-20-078811","032013874921 Extraviado(Criterio temporal)","1","14-12-20","03201 - TUDELA","02670 - MADRID 28037","03201 - TUDELA","U19E","INDUSTRIAL TONELERA NAVARRA S.L.U","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","28-12-20","28-12-20","","https://wilsonapp.tech/frontend/partes_perdida/edit/108796"
"PP-20-078816","038063319724 Extraviado(Criterio temporal)","1","14-12-20","03806 - ALCALA GUADAIRA","01800 - GUADALAJARA","03806 - ALCALA GUADAIRA","ECOM","ZARA ESPAÑA, S.A.","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","28-12-20","28-12-20","","https://wilsonapp.tech/frontend/partes_perdida/edit/108801"
"PP-20-078817","038063319694 Extraviado(Criterio temporal)","1","14-12-20","03806 - ALCALA GUADAIRA","01800 - GUADALAJARA","03806 - ALCALA GUADAIRA","ECOM","ZARA ESPAÑA, S.A.","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","28-12-20","28-12-20","","https://wilsonapp.tech/frontend/partes_perdida/edit/108802"
"PP-20-078818","038063319631 Extraviado(Criterio temporal)","1","14-12-20","03806 - ALCALA GUADAIRA","01800 - GUADALAJARA","03806 - ALCALA GUADAIRA","ECOM","ZARA ESPAÑA, S.A.","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","28-12-20","28-12-20","","https://wilsonapp.tech/frontend/partes_perdida/edit/108803"
"PP-20-078831","002012032468 Extraviado(Criterio temporal)","1","15-12-20","00201 - ELX/ELCHE 03201","02620 - MADRID 28015","00201 - ELX/ELCHE 03201","ECOM","PABLO SALGADO IBAÑEZ","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","28-12-20","28-12-20","","https://wilsonapp.tech/frontend/partes_perdida/edit/108816"
"PP-20-078850","01009A002787 Entregado","1","28-12-20","01009 - ARCOS DE LA FRONTERA","02670 - MADRID 28037","02670 - MADRID 28037","U19E","EL CORTE INGLES SA","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","28-12-20","30-12-20","","https://wilsonapp.tech/frontend/partes_perdida/edit/108835"
"PP-20-078869","04308A006073 Borrado","1","22-12-20","04308 - ALDAIA","02665 - NAVALCARNERO","04308 - ALDAIA","ECOM","AUTOSOLAR ENERGY SOLUTION, SLU","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","28-12-20","28-12-20","","https://wilsonapp.tech/frontend/partes_perdida/edit/108854"
"PP-20-078876","02633A009374 Entregado","1","21-12-20","02633 - MADRID 28027","02657 - MADRID 28022","02633 - MADRID 28027","ECOM","TIKVA SAMALI,S.L.","Pérdida","Pendiente información","DPTO SEGURIDAD BARAJAS","1 / 1","28-12-20","28-12-20","","https://wilsonapp.tech/frontend/partes_perdida/edit/108861"
"PP-20-078883","038063322353 Entregado","1","22-12-20","03806 - ALCALA GUADAIRA","00900 - CACERES","03806 - ALCALA GUADAIRA","ECOM","PC LOGISTIC","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","28-12-20","04-01-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/108868"
"PP-20-078899","026415342462 Entregado","1","22-12-20","02641 - MADRID 28050","04200 - TOLEDO","02641 - MADRID 28050","ECOM","REGALO ORIGINAL GLOBAL SL","Pérdida","Pendiente información","DPTO SEGURIDAD BARAJAS","1 / 1","28-12-20","28-12-20","","https://wilsonapp.tech/frontend/partes_perdida/edit/108884"
"PP-20-078911","02633A009874 Pendiente: TransitoInternoEntrega, ,","1","22-12-20","02633 - MADRID 28027","02673 - ALCALA HENARES 28802","02633 - MADRID 28027","U14","AUDITORES DE ENERGIA,S.A.","Pérdida","Respuesta info recibida","DPTO SEGURIDAD BARAJAS","1 / 1","28-12-20","28-12-20","","https://wilsonapp.tech/frontend/partes_perdida/edit/108896"
"PP-20-078954","02809A007465 Entregado","1","23-12-20","02809 - ALGUAZAS","02663 - MOSTOLES 28933","02663 - MOSTOLES 28933","RETO","BODEGAS H. MARQUES DE RISCAL, S.L.","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","28-12-20","30-12-20","","https://wilsonapp.tech/frontend/partes_perdida/edit/108939"
"PP-20-078958","01903A004007 Pendiente: TransitoInternoEntrega, AE0700, No recibido","1","22-12-20","01903 - AYAMONTE","02628 - MADRID 28028","01903 - AYAMONTE","U14E","REYES","Pérdida","Pendiente información","DPTO SEGURIDAD BARAJAS","1 / 1","28-12-20","28-12-20","","https://wilsonapp.tech/frontend/partes_perdida/edit/108943"
"PP-20-078960","026604257826 Pendiente: TransitoInternoEntrega, AE0700, No recibido","1","23-12-20","02660 - LEGANES","02647 - MADRID 28042","02660 - LEGANES","ECOM","IBERICA DE DROGUERIA Y PERFUMES S.A.","Pérdida","Pendiente información","DPTO SEGURIDAD BARAJAS","1 / 1","28-12-20","28-12-20","","https://wilsonapp.tech/frontend/partes_perdida/edit/108945"
"PP-20-078975","026604258190 Entregado","1","23-12-20","02660 - LEGANES","01804 - SIGUENZA","02660 - LEGANES","ECOM","IBERICA DE DROGUERIA Y PERFUMES S.A.","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","28-12-20","29-12-20","","https://wilsonapp.tech/frontend/partes_perdida/edit/108960"
"PP-20-079009","02628A005876 Entregado","1","23-12-20","02628 - MADRID 28028","02647 - MADRID 28042","02660 - LEGANES","ECOM","IBERICA DE DROGUERIA Y PERFUMES S.A.","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","28-12-20","29-12-20","","https://wilsonapp.tech/frontend/partes_perdida/edit/108994"
"PP-20-079044","026604259993 Entregado","1","23-12-20","02660 - LEGANES","00903 - CORIA","02660 - LEGANES","ECOM","IBERICA DE DROGUERIA Y PERFUMES S.A.","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","28-12-20","04-01-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/109029"
"PP-20-079089","026604257633 Entregado","1","23-12-20","02660 - LEGANES","01501 - TARANCON","02660 - LEGANES","ECOM","IBERICA DE DROGUERIA Y PERFUMES S.A.","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","28-12-20","30-12-20","","https://wilsonapp.tech/frontend/partes_perdida/edit/109074"
"PP-20-079100","04101A001674 Entregado","1","23-12-20","04101 - ALCAÑIZ","02660 - LEGANES","02660 - LEGANES","ECOM","IBERICA DE DROGUERIA Y PERFUMES S.A.","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","28-12-20","30-12-20","","https://wilsonapp.tech/frontend/partes_perdida/edit/109085"
"PP-20-079104","01406A002581 Entregado","1","23-12-20","01406 - CARBALLO","02638 - MADRID 28029","02638 - MADRID 28029","ECOM","SLOW LOVE S.L","Pérdida","Pendiente información","DPTO SEGURIDAD BARAJAS","1 / 1","28-12-20","28-12-20","","https://wilsonapp.tech/frontend/partes_perdida/edit/109089"
"PP-20-079124","080106629433 Extraviado(Criterio temporal)","1","14-12-20","08010 - SINTRA","02602 - TORREJON DE ARDOZ","08010 - SINTRA","U19E","VELVET MORNING,LDA","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","28-12-20","28-12-20","","https://wilsonapp.tech/frontend/partes_perdida/edit/109109"
"PP-20-079129","080108186700 Entregado","1","14-12-20","08010 - SINTRA","04200 - TOLEDO","08010 - SINTRA","U19E","BINARY SUBJECT, S.A.","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","28-12-20","28-12-20","","https://wilsonapp.tech/frontend/partes_perdida/edit/109114"
"PP-20-079173","02105A005257 Solo estado 17. Sin traza TTM.","1","21-12-20","02105 - ALCALA LA REAL","02633 - MADRID 28027","02105 - ALCALA LA REAL","U19","PRODUCTOS MATA S.A.","Pérdida","En gestión","DPTO SEGURIDAD BARAJAS","1 / 1","28-12-20","28-12-20","","https://wilsonapp.tech/frontend/partes_perdida/edit/109158"
"PP-20-079182","021052001584 Solo estado 17. Sin traza TTM.","1","21-12-20","02105 - ALCALA LA REAL","02607 - MAJADAHONDA","02105 - ALCALA LA REAL","ECOM","MURALES Y VINILOS.COM","Pérdida","En gestión","DPTO SEGURIDAD BARAJAS","1 / 1","28-12-20","28-12-20","","https://wilsonapp.tech/frontend/partes_perdida/edit/109167"
"PP-20-079186","021052001583 Borrado","1","21-12-20","02105 - ALCALA LA REAL","02640 - SAN AGUSTIN GUADALIX","02105 - ALCALA LA REAL","ECOM","MARIA LUNARILLOS, S.L.","Pérdida","En gestión","DPTO SEGURIDAD BARAJAS","0 / 1","28-12-20","","","https://wilsonapp.tech/frontend/partes_perdida/edit/109171"
"PP-20-079193","021052001578 Solo estado 17. Sin traza TTM.","1","21-12-20","02105 - ALCALA LA REAL","02607 - MAJADAHONDA","02105 - ALCALA LA REAL","ECOM","MURALES Y VINILOS.COM","Pérdida","En gestión","DPTO SEGURIDAD BARAJAS","1 / 1","28-12-20","28-12-20","","https://wilsonapp.tech/frontend/partes_perdida/edit/109178"
"PP-20-079197","021052001575 Solo estado 17. Sin traza TTM.","1","21-12-20","02105 - ALCALA LA REAL","02607 - MAJADAHONDA","02105 - ALCALA LA REAL","ECOM","MURALES Y VINILOS.COM","Pérdida","En gestión","DPTO SEGURIDAD BARAJAS","1 / 1","28-12-20","28-12-20","","https://wilsonapp.tech/frontend/partes_perdida/edit/109182"
"PP-20-079222","021052001566 Solo estado 17. Sin traza TTM.","1","21-12-20","02105 - ALCALA LA REAL","02607 - MAJADAHONDA","02105 - ALCALA LA REAL","ECOM","MURALES Y VINILOS.COM","Pérdida","En gestión","DPTO SEGURIDAD BARAJAS","1 / 1","28-12-20","28-12-20","","https://wilsonapp.tech/frontend/partes_perdida/edit/109207"
"PP-20-079233","021052001563 Solo estado 17. Sin traza TTM.","1","21-12-20","02105 - ALCALA LA REAL","02607 - MAJADAHONDA","02105 - ALCALA LA REAL","ECOM","MURALES Y VINILOS.COM","Pérdida","En gestión","DPTO SEGURIDAD BARAJAS","1 / 1","28-12-20","28-12-20","","https://wilsonapp.tech/frontend/partes_perdida/edit/109218"
"PP-20-079250","048102012969 Pendiente: TransitoInternoEntrega, AE0700, No recibido","1","24-12-20","04810 - PALMA MALLORCA 07010","02673 - ALCALA HENARES 28802","04810 - PALMA MALLORCA 07010","UMARITIMO","TODO FUTBOL AMERICANO S.L.","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","28-12-20","04-01-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/109235"
"PP-20-079280","021022370496 Pendiente: TransitoInternoEntrega, AE0199, Avería o retraso","1","21-12-20","02102 - UBEDA","02607 - MAJADAHONDA","02102 - UBEDA","ECOM","RAFAEL","Pérdida","Pendiente información","DPTO SEGURIDAD BARAJAS","1 / 1","28-12-20","28-12-20","","https://wilsonapp.tech/frontend/partes_perdida/edit/109265"
"PP-20-079298","014023641465 Entregado","2","14-12-20","01402 - SANTIAGO DE COMPOSTELA 15705","02630 - MADRID 28030","01402 - SANTIAGO DE COMPOSTELA 15705","U19","ESCOMPRING MARKET GROUP, S. L.","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","28-12-20","29-12-20","","https://wilsonapp.tech/frontend/partes_perdida/edit/109283"
"PP-20-079303","02611A003923 Solo estado 17. Sin traza TTM.","1","21-12-20","02611 - MADRID 28018","02670 - MADRID 28037","02670 - MADRID 28037","U19E","EL CORTE INGLES SA","Pérdida","En gestión","DPTO SEGURIDAD BARAJAS","1 / 1","28-12-20","28-12-20","","https://wilsonapp.tech/frontend/partes_perdida/edit/109288"
"PP-20-079357","043120507781 Entregado","1","23-12-20","04312 - CHIVA","02665 - NAVALCARNERO","04312 - CHIVA","ECOM","1AUDRUMCAR SL","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","28-12-20","29-12-20","","https://wilsonapp.tech/frontend/partes_perdida/edit/109342"
"PP-20-079379","028093064964 Entregado","2","23-12-20","02809 - ALGUAZAS","02634 - COLLADO-VILLALBA","02809 - ALGUAZAS","U19E","MAHER DECO, SL","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","28-12-20","30-12-20","","https://wilsonapp.tech/frontend/partes_perdida/edit/109364"
"PP-20-079392","02708A006312 Extraviado(Criterio temporal)","1","15-12-20","02708 - COIN","01800 - GUADALAJARA","02708 - COIN","U19","TRANSPORTES ROMERITO SL","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","28-12-20","28-12-20","","https://wilsonapp.tech/frontend/partes_perdida/edit/109377"
"PP-20-079441","010034104735 Extraviado(Criterio temporal)","1","16-12-20","01003 - JEREZ DE LA FRONTERA","00902 - NAVALMORAL MATA","01003 - JEREZ DE LA FRONTERA","U19E","BLADEFAR, S.L.","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","28-12-20","28-12-20","","https://wilsonapp.tech/frontend/partes_perdida/edit/109426"
"PP-20-079467","040012494127 Pendiente: RecogidaFinalizada, ,","1","01-01-21","04001 - REUS 43204","02633 - MADRID 28027","02602 - TORREJON DE ARDOZ","ECOM","THE SERVICE GROUP PROCEDO","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","28-12-20","28-12-20","","https://wilsonapp.tech/frontend/partes_perdida/edit/109452"
"PP-20-079494","045022920577 Entregado","1","22-12-20","04502 - VITORIA 01008","02638 - MADRID 28029","04502 - VITORIA 01008","UBAG19","BERETTA BENELLI","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","28-12-20","30-12-20","","https://wilsonapp.tech/frontend/partes_perdida/edit/109479"
"PP-20-079506","026013790216 Pendiente: TransitoInternoEntrega, ,","1","23-12-20","02601 - GETAFE 28906","02643 - TORRELODONES","02601 - GETAFE 28906","ECOM","AQUARELLE BUCARO, S.L.","Pérdida","Pendiente información","DPTO SEGURIDAD BARAJAS","1 / 1","28-12-20","28-12-20","","https://wilsonapp.tech/frontend/partes_perdida/edit/109491"
"PP-20-079510","026101042562 Solo estado 17. Sin traza TTM.","1","22-12-20","02610 - MADRID 28031","02602 - TORREJON DE ARDOZ","02610 - MADRID 28031","U10","TRANE AIRE ACONDICIONADO","Pérdida","En gestión","DPTO SEGURIDAD BARAJAS","1 / 1","28-12-20","28-12-20","","https://wilsonapp.tech/frontend/partes_perdida/edit/109495"
"PP-20-079546","026604226169 Borrado","1","16-12-20","02660 - LEGANES","02630 - MADRID 28030","02601 - GETAFE 28906","ECOM","COMPENSA STAND, S.L.","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","28-12-20","28-12-20","","https://wilsonapp.tech/frontend/partes_perdida/edit/109531"
"PP-20-079565","016132929265 Extraviado(Criterio temporal)","1","17-12-20","01613 - SARRIA DE TER","02643 - TORRELODONES","01613 - SARRIA DE TER","ECOM","TRADEINN RETAIL SERVICES, S.L.","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","28-12-20","28-12-20","","https://wilsonapp.tech/frontend/partes_perdida/edit/109550"
"PP-20-079621","082032964564 Extraviado(Criterio temporal)","1","16-12-20","08203 - VILA NOVA DE GAIA","02672 - MADRID","08203 - VILA NOVA DE GAIA","ECOM","Barata & Ramilo, SA.","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","28-12-20","28-12-20","","https://wilsonapp.tech/frontend/partes_perdida/edit/109606"
"PP-20-079622","006232771924 Entregado","1","18-12-20","00623 - SANT CELONI","02676 - COSLADA","00623 - SANT CELONI","ECOM","BOBOLI","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","28-12-20","28-12-20","","https://wilsonapp.tech/frontend/partes_perdida/edit/109607"
"PP-20-079626","03201A004301 Borrado","1","22-12-20","03201 - TUDELA","02676 - COSLADA","02676 - COSLADA","U14","MAN VEHICULOS IND.ESPAÑA S.A.","Pérdida","En gestión","DPTO SEGURIDAD BARAJAS","0 / 1","28-12-20","","","https://wilsonapp.tech/frontend/partes_perdida/edit/109611"
