"N. parte","Envios","Bult","F. Albaran","Orig.","Dest.","Propi.","Serv.","Abonado","Tipo","Estado","Gestor","Resolución","Fecha parte","F.Resolución","Tiempo","Acción"
"PP-21-020192","038232250213 Pendiente: TransitoInternoEntrega, AE0700, No recibido","1","07-01-21","03823 - SEVILLA 41013","00900 - CACERES","03823 - SEVILLA 41013","ECOM","MINISTRY OF LANGUAGES S.L","Pérdida","En gestión","DPTO SEGURIDAD BARAJAS","0 / 1","28-01-21","","","https://wilsonapp.tech/frontend/partes_perdida/edit/132760"
"PP-21-020194","026064123457 Entregado","1","25-01-21","02606 - ARGANDA","02647 - MADRID 28042","02606 - ARGANDA","U19E","A.C.T. S.L.","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","28-01-21","04-02-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/132762"
"PP-21-020195","003094192652 Entregado","1","20-01-21","00309 - HUERCAL DE ALMERIA","02647 - MADRID 28042","00309 - HUERCAL DE ALMERIA","U19E","I3D DIGITAL ESPACIO MEDIA,S.L.","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","28-01-21","04-02-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/132763"
"PP-21-020196","026064123467 Entregado","1","25-01-21","02606 - ARGANDA","04204 - ILLESCAS","02606 - ARGANDA","U19E","A.C.T. S.L.","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","28-01-21","04-02-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/132764"
"PP-21-020198","03304A007192 Entregado","1","20-01-21","03304 - PORRIÑO","02637 - ARANJUEZ","02637 - ARANJUEZ","U19","ELECTRONICA IMPERIAL","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","28-01-21","04-02-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/132766"
"PP-21-020200","04701A003516 Entregado","1","26-01-21","04701 - EJEA DE LOS CABALLEROS","02637 - ARANJUEZ","04701 - EJEA DE LOS CABALLEROS","U19","TENIAS S.A.","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","28-01-21","04-02-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/132768"
"PP-21-020201","040123778605 Entregado","1","20-01-21","04012 - TARRAGONA 43006","02656 - MADRID 28035","04012 - TARRAGONA 43006","ECOM","BERSHKA BSK ESPAÑA, S.A.","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","28-01-21","04-02-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/132769"
"PP-21-020204","04308A010663 Entregado","1","25-01-21","04308 - ALDAIA","02659 - VALDEMORO","04308 - ALDAIA","UBAG19","ATEK LABORATORIO DENTAL S.L.U.","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","28-01-21","04-02-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/132772"
"PP-21-020206","027005337494 Pendiente: EntregaPendiente, AE0308, Embalaje dañado / en ma","1","15-01-21","02700 - MALAGA 29006","02638 - MADRID 28029","02700 - MALAGA 29006","ECOM","ROSA CREMA SL","Pérdida","En gestión","DPTO SEGURIDAD BARAJAS","0 / 1","28-01-21","","","https://wilsonapp.tech/frontend/partes_perdida/edit/132774"
"PP-21-020221","027006167341 Pendiente: TransitoInternoEntrega, AE0700, No recibido","1","13-01-21","02700 - MALAGA 29006","01500 - CUENCA","02700 - MALAGA 29006","ECOM","LETMEREPAIR SPAIN SL","Pérdida","En gestión","DPTO SEGURIDAD BARAJAS","0 / 1","28-01-21","","","https://wilsonapp.tech/frontend/partes_perdida/edit/132789"
"PP-21-020224","02700A011076 Entregado","1","13-01-21","02700 - MALAGA 29006","02670 - MADRID 28037","02670 - MADRID 28037","U19E","","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","28-01-21","04-02-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/132792"
"PP-21-020232","027005333731 Entregado","1","14-01-21","02700 - MALAGA 29006","02630 - MADRID 28030","02700 - MALAGA 29006","U14","CREACIONES ARTISTAS ALCAZABA sl","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","28-01-21","04-02-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/132800"
"PP-21-020234","006087261219 Entregado","1","15-01-21","00608 - TERRASSA 08225","02647 - MADRID 28042","00608 - TERRASSA 08225","U19","ESPUMA A MEDIDA,S.L","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","28-01-21","04-02-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/132802"
"PP-21-020236","027007600970 Pendiente: TransitoInternoEntrega, ,","1","14-01-21","02700 - MALAGA 29006","02633 - MADRID 28027","02700 - MALAGA 29006","U19","MAYORAL MODA INFANTIL S.A.U.","Pérdida","En gestión","DPTO SEGURIDAD BARAJAS","0 / 1","28-01-21","","","https://wilsonapp.tech/frontend/partes_perdida/edit/132804"
"PP-21-020239","04012A010679 Pendiente: EntregaPendiente, ,","1","21-01-21","04012 - TARRAGONA 43006","02673 - ALCALA HENARES 28802","04012 - TARRAGONA 43006","U19","PLAY ACCIO CULTURAL","Pérdida","En gestión","DPTO SEGURIDAD BARAJAS","0 / 1","28-01-21","","","https://wilsonapp.tech/frontend/partes_perdida/edit/132807"
"PP-21-020243","027007600431 Pendiente: TransitoInternoEntrega, AE0700, No recibido","1","14-01-21","02700 - MALAGA 29006","02633 - MADRID 28027","02700 - MALAGA 29006","ECOM","MAYORAL MODA INFANTIL S.A.U.","Pérdida","En gestión","DPTO SEGURIDAD BARAJAS","0 / 1","28-01-21","","","https://wilsonapp.tech/frontend/partes_perdida/edit/132811"
"PP-21-020247","040123937620 Entregado","6","22-01-21","04012 - TARRAGONA 43006","02634 - COLLADO-VILLALBA","04012 - TARRAGONA 43006","U19E","ELEKTRO 3 SCCL","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","28-01-21","04-02-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/132815"
"PP-21-020248","026703156262 Pendiente: TransitoInternoEntrega, AE0700, No recibido","1","26-01-21","02670 - MADRID 28037","04200 - TOLEDO","02670 - MADRID 28037","U19E","EL CORTE INGLES SA","Pérdida","En gestión","DPTO SEGURIDAD BARAJAS","0 / 1","28-01-21","","","https://wilsonapp.tech/frontend/partes_perdida/edit/132816"
"PP-21-020249","02648R001025 Entregado","1","21-01-21","02648 - PINTO","02661 - RIVAS VACIAMADRID","02648 - PINTO","U19E","HERME DIS SL","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","28-01-21","04-02-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/132817"
"PP-21-020251","026064200002 Entregado","1","22-01-21","02606 - ARGANDA","02659 - VALDEMORO","02606 - ARGANDA","U19E","HAIR ORGANIC CONCEPT SL","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","28-01-21","04-02-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/132819"
"PP-21-020253","00501A004773 Entregado","1","26-01-21","00501 - MERIDA","02633 - MADRID 28027","00501 - MERIDA","UBAG19","ANJUMA GESTIONES INMOBILIARIAS","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","28-01-21","04-02-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/132821"
"PP-21-020254","00501A004763 Pendiente: EntregaPendiente, ,","1","26-01-21","00501 - MERIDA","00902 - NAVALMORAL MATA","00501 - MERIDA","U19","UPA UCE EXTREMADURA","Pérdida","En gestión","DPTO SEGURIDAD BARAJAS","0 / 1","28-01-21","","","https://wilsonapp.tech/frontend/partes_perdida/edit/132822"
"PP-21-021731","043085478563 Pendiente: EntregaPendiente, OE0062, Depositado en Franquici","2","26-01-21","04308 - ALDAIA","02612 - MADRID 28034","04308 - ALDAIA","U19E","CECOTEC INNOVACIONES SL","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","01-02-21","04-02-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/134299"
"PP-21-021733","043282407757 Pendiente: TransitoInternoEntrega, ,","1","26-01-21","04328 - VALENCIA 46009","02661 - RIVAS VACIAMADRID","04328 - VALENCIA 46009","ECOM","PULL & BEAR ESPAÑA, S.A.","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","01-02-21","04-02-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/134301"
"PP-21-021735","043085479679 Entregado","9","27-01-21","04308 - ALDAIA","02630 - MADRID 28030","04308 - ALDAIA","U19E","CECOTEC INNOVACIONES SL","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","0 / 1","01-02-21","","","https://wilsonapp.tech/frontend/partes_perdida/edit/134303"
"PP-21-021737","043282407862 Pendiente: TransitoInternoEntrega, ,","1","25-01-21","04328 - VALENCIA 46009","02661 - RIVAS VACIAMADRID","04328 - VALENCIA 46009","ECOM","PULL & BEAR ESPAÑA, S.A.","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","01-02-21","04-02-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/134305"
"PP-21-021738","01903A006779 Pendiente: TransitoInternoEntrega, AE0700, No recibido","1","29-01-21","01903 - AYAMONTE","02612 - MADRID 28034","01903 - AYAMONTE","U12E","ANA MARIA DOMINGUEZ PIZZAMIGLIO","Pérdida","Pendiente información","DPTO SEGURIDAD BARAJAS","1 / 1","01-02-21","04-02-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/134306"
"PP-21-021739","022053287326 Pendiente: TransitoInternoEntrega, ,","1","21-01-21","02205 - LEON 24009","02660 - LEGANES","02205 - LEON 24009","ECOM","MEDIA MARK LEON VIDEO S.A.","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","01-02-21","04-02-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/134307"
"PP-21-021740","043085479422 Pendiente: EntregaPendiente, OE0062, Depositado en Franquici","2","27-01-21","04308 - ALDAIA","02665 - NAVALCARNERO","04308 - ALDAIA","U19E","CECOTEC INNOVACIONES SL","Pérdida","Pendiente información","DPTO SEGURIDAD BARAJAS","1 / 1","01-02-21","04-02-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/134308"
"PP-21-021742","00105A002703 Entregado","1","26-01-21","00105 - TARAZONA DE LA MANCHA","02648 - PINTO","00105 - TARAZONA DE LA MANCHA","U19","PERFILADOS LOZANO","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","01-02-21","05-02-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/134310"
"PP-21-021744","043282409137 Pendiente: TransitoInternoEntrega, ,","1","25-01-21","04328 - VALENCIA 46009","02640 - SAN AGUSTIN GUADALIX","04328 - VALENCIA 46009","ECOM","ZARA HOME ESPAÑA,S.A.","Pérdida","Pendiente información","DPTO SEGURIDAD BARAJAS","1 / 1","01-02-21","04-02-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/134312"
"PP-21-021746","024034478500 Entregado","1","22-01-21","02403 - LOGROÑO 26003","02661 - RIVAS VACIAMADRID","02403 - LOGROÑO 26003","U19E","TUC TUC INTERNATIONAL 2020 SL","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","01-02-21","05-02-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/134314"
"PP-21-021749","024034478122 Entregado","1","22-01-21","02403 - LOGROÑO 26003","02661 - RIVAS VACIAMADRID","02403 - LOGROÑO 26003","U19E","TUC TUC INTERNATIONAL 2020 SL","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","01-02-21","05-02-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/134317"
"PP-21-021750","022053287086 Entregado","1","21-01-21","02205 - LEON 24009","02661 - RIVAS VACIAMADRID","02205 - LEON 24009","ECOM","STRADIVARIUS","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","0 / 1","01-02-21","","","https://wilsonapp.tech/frontend/partes_perdida/edit/134318"
"PP-21-021752","042022110221 Entregado","1","19-01-21","04202 - MADRIDEJOS","02660 - LEGANES","04202 - MADRIDEJOS","U19E","LEYMA SL","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","01-02-21","05-02-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/134320"
"PP-21-021754","022053286594 Pendiente: EntregaPendiente, OE0901, Entrega concertada en d","1","22-01-21","02205 - LEON 24009","02661 - RIVAS VACIAMADRID","02205 - LEON 24009","ECOM","PULL & BEAR ESPAÑA, S.A.","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","01-02-21","04-02-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/134322"
"PP-21-021756","026415380172 Extraviado(Criterio temporal)","1","18-01-21","02641 - MADRID 28050","02615 - MADRID 28039","02641 - MADRID 28050","ECOM","REGALO ORIGINAL GLOBAL SL","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","01-02-21","04-02-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/134324"
"PP-21-021770","02706A009054 Pendiente: TransitoInternoEntrega, AE0700, No recibido","1","27-01-21","02706 - RONDA","02660 - LEGANES","02660 - LEGANES","ECOM","IBERICA DE DROGUERIA Y PERFUMES S.A.","Pérdida","Pendiente información","DPTO SEGURIDAD BARAJAS","1 / 1","01-02-21","04-02-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/134338"
"PP-21-021773","00620A011829 Pendiente: TransitoInternoEntrega, AE0700, No recibido","1","22-01-21","00620 - BADALONA","02660 - LEGANES","02660 - LEGANES","ECOM","IBERICA DE DROGUERIA Y PERFUMES S.A.","Pérdida","Pendiente información","DPTO SEGURIDAD BARAJAS","1 / 1","01-02-21","04-02-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/134341"
"PP-21-021777","02612A026588 Extraviado(Criterio temporal)","1","14-01-21","02612 - MADRID 28034","02670 - MADRID 28037","02670 - MADRID 28037","U19E","ALIOFERTA, S.L.","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","01-02-21","04-02-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/134345"
"PP-21-021780","026381669570 Pendiente: TransitoInternoEntrega, AE0700, No recibido","1","27-01-21","02638 - MADRID 28029","02628 - MADRID 28028","02638 - MADRID 28029","ECCJ","FIDOTEC SL","Pérdida","Pendiente información","DPTO SEGURIDAD BARAJAS","1 / 1","01-02-21","04-02-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/134348"
"PP-21-021781","026381665897 Entregado","1","27-01-21","02638 - MADRID 28029","04209 - TALAVERA REINA","02638 - MADRID 28029","ECCJ","FIDOTEC SL","Pérdida","En gestión","DPTO SEGURIDAD BARAJAS","0 / 1","01-02-21","","","https://wilsonapp.tech/frontend/partes_perdida/edit/134349"
"PP-21-021782","00602A006721 Borrado","1","20-01-21","00602 - GRANOLLERS 08402","02670 - MADRID 28037","02670 - MADRID 28037","U19E","ALIOFERTA, S.L.","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","0 / 1","01-02-21","","","https://wilsonapp.tech/frontend/partes_perdida/edit/134350"
"PP-21-021783","026381670585 Pendiente: TransitoInternoEntrega, AE0700, No recibido","1","27-01-21","02638 - MADRID 28029","02661 - RIVAS VACIAMADRID","02638 - MADRID 28029","ECCJ","FIDOTEC SL","Pérdida","Pendiente información","DPTO SEGURIDAD BARAJAS","1 / 1","01-02-21","04-02-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/134351"
"PP-21-021788","026381673882 Pendiente: TransitoInternoEntrega, AE0700, No recibido","1","27-01-21","02638 - MADRID 28029","04209 - TALAVERA REINA","02638 - MADRID 28029","ECCJ","FIDOTEC SL","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","01-02-21","04-02-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/134356"
"PP-21-021795","026381673545 Entregado","1","27-01-21","02638 - MADRID 28029","04209 - TALAVERA REINA","02638 - MADRID 28029","ECCJ","FIDOTEC SL","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","01-02-21","05-02-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/134363"
"PP-21-021804","026381669871 Pendiente: TransitoInternoEntrega, AE0700, No recibido","1","27-01-21","02638 - MADRID 28029","02621 - MADRID 28010","02638 - MADRID 28029","ECCJ","FIDOTEC SL","Pérdida","Pendiente información","DPTO SEGURIDAD BARAJAS","1 / 1","01-02-21","04-02-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/134372"
"PP-21-021805","026381666330 Entregado","1","27-01-21","02638 - MADRID 28029","02661 - RIVAS VACIAMADRID","02638 - MADRID 28029","ECCJ","FIDOTEC SL","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","01-02-21","05-02-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/134373"
"PP-21-021808","026381673881 Pendiente: TransitoInternoEntrega, AE0700, No recibido","1","27-01-21","02638 - MADRID 28029","04209 - TALAVERA REINA","02638 - MADRID 28029","ECCJ","FIDOTEC SL","Pérdida","Pendiente información","DPTO SEGURIDAD BARAJAS","1 / 1","01-02-21","04-02-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/134376"
"PP-21-021809","026381671783 Pendiente: TransitoInternoEntrega, AE0700, No recibido","1","27-01-21","02638 - MADRID 28029","00901 - PLASENCIA","02638 - MADRID 28029","ECCJ","FIDOTEC SL","Pérdida","Pendiente información","DPTO SEGURIDAD BARAJAS","1 / 1","01-02-21","04-02-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/134377"
"PP-21-021810","026381673285 Pendiente: TransitoInternoEntrega, AE0700, No recibido","1","27-01-21","02638 - MADRID 28029","04209 - TALAVERA REINA","02638 - MADRID 28029","ECCJ","FIDOTEC SL","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","01-02-21","04-02-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/134378"
"PP-21-021812","026381670440 Pendiente: TransitoInternoEntrega, AE0700, No recibido","1","27-01-21","02638 - MADRID 28029","04209 - TALAVERA REINA","02638 - MADRID 28029","ECCJ","FIDOTEC SL","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","01-02-21","04-02-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/134380"
"PP-21-021814","017116852048 Pendiente: TransitoInternoEntrega, AE0700, No recibido","1","28-01-21","01711 - ALBOLOTE","00902 - NAVALMORAL MATA","01711 - ALBOLOTE","ECOM","EFIT NUTRITION S.L.U.","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","01-02-21","04-02-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/134382"
"PP-21-021816","026381674215 Pendiente: TransitoInternoEntrega, AE0700, No recibido","1","27-01-21","02638 - MADRID 28029","04209 - TALAVERA REINA","02638 - MADRID 28029","ECCJ","FIDOTEC SL","Pérdida","Cerrada a petición de usuario","DPTO SEGURIDAD BARAJAS","1 / 1","01-02-21","04-02-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/134384"
"PP-21-021819","026381670713 Entregado","1","27-01-21","02638 - MADRID 28029","02630 - MADRID 28030","02638 - MADRID 28029","ECCJ","FIDOTEC SL","Pérdida","En gestión","DPTO SEGURIDAD BARAJAS","1 / 1","01-02-21","05-02-21","","https://wilsonapp.tech/frontend/partes_perdida/edit/134387"
"PP-21-022372","038244993681 Pendiente: TransitoInternoEntrega, ,","1","15-01-21","03824 - SEVILLA 41020","02622 - MADRID 28003","03824 - SEVILLA 41020","ECOM","THINK PHARMA TANK SL","Pérdida","En gestión","DPTO SEGURIDAD BARAJAS","0 / 1","02-02-21","","","https://wilsonapp.tech/frontend/partes_perdida/edit/134940"
"PP-21-022375","038241798165 Pendiente: TransitoInternoEntrega, ,","1","21-01-21","03824 - SEVILLA 41020","04200 - TOLEDO","03824 - SEVILLA 41020","ECOM","SMARTERS ACCESORIOS SL","Pérdida","En gestión","DPTO SEGURIDAD BARAJAS","0 / 1","02-02-21","","","https://wilsonapp.tech/frontend/partes_perdida/edit/134943"
"PP-21-022378","043211359372 Pendiente: TransitoInternoEntrega, AE0700, No recibido","1","26-01-21","04321 - VALENCIA 46005","02661 - RIVAS VACIAMADRID","04321 - VALENCIA 46005","ECOM","PULL & BEAR ESPAÑA, S.A.","Pérdida","En gestión","DPTO SEGURIDAD BARAJAS","0 / 1","02-02-21","","","https://wilsonapp.tech/frontend/partes_perdida/edit/134946"
"PP-21-022409","002041361931 Pendiente: EntregaPendiente, ,","3","20-01-21","00204 - ALCOI","02670 - MADRID 28037","00204 - ALCOI","U19E","TU DIRAS SL","Pérdida","En gestión","DPTO SEGURIDAD BARAJAS","0 / 1","02-02-21","","","https://wilsonapp.tech/frontend/partes_perdida/edit/134977"
"PP-21-022410","006822489307 Pendiente: RecogidaFinalizada, ,","1","25-01-21","00682 - BARCELONA 08017","02609 - POZUELO ALARCÓN 28223","02602 - TORREJON DE ARDOZ","ECOM","THE SERVICE GROUP PROCEDO","Pérdida","En gestión","DPTO SEGURIDAD BARAJAS","0 / 1","02-02-21","","","https://wilsonapp.tech/frontend/partes_perdida/edit/134978"
"PP-21-022411","024033152678 Pendiente: TransitoInternoEntrega, ,","1","28-01-21","02403 - LOGROÑO 26003","02630 - MADRID 28030","02403 - LOGROÑO 26003","ECOM","STRADIVARIUS","Pérdida","En gestión","DPTO SEGURIDAD BARAJAS","0 / 1","02-02-21","","","https://wilsonapp.tech/frontend/partes_perdida/edit/134979"
"PP-21-022421","036043809021 Pendiente: TransitoInternoEntrega, ,","1","21-01-21","03604 - MALIAÑO","02661 - RIVAS VACIAMADRID","03604 - MALIAÑO","ECOM","BERSHKA BSK ESPAÑA, S.A.","Pérdida","En gestión","DPTO SEGURIDAD BARAJAS","0 / 1","02-02-21","","","https://wilsonapp.tech/frontend/partes_perdida/edit/134989"
"PP-21-022422","03700A006260 Pendiente: TransitoInternoEntrega, AE0700, No recibido","1","26-01-21","03700 - SEGOVIA","02612 - MADRID 28034","02612 - MADRID 28034","UBAG19","ONDATA INTERNATIONAL,S.L.","Pérdida","En gestión","DPTO SEGURIDAD BARAJAS","0 / 1","02-02-21","","","https://wilsonapp.tech/frontend/partes_perdida/edit/134990"
"PP-21-022426","036043809644 Pendiente: TransitoInternoEntrega, ,","1","22-01-21","03604 - MALIAÑO","02608 - TRES CANTOS","03604 - MALIAÑO","ECOM","ZARA HOME ESPAÑA,S.A.","Pérdida","En gestión","DPTO SEGURIDAD BARAJAS","0 / 1","02-02-21","","","https://wilsonapp.tech/frontend/partes_perdida/edit/134994"
"PP-21-022430","043260807468 Pendiente: TransitoInternoEntrega, ,","1","29-01-21","04326 - VALENCIA 46013","02661 - RIVAS VACIAMADRID","04326 - VALENCIA 46013","U19E","ERIK COLLADO VIDAL","Pérdida","En gestión","DPTO SEGURIDAD BARAJAS","0 / 1","02-02-21","","","https://wilsonapp.tech/frontend/partes_perdida/edit/134998"
"PP-21-022435","043211360921 Pendiente: TransitoInternoEntrega, ,","1","25-01-21","04321 - VALENCIA 46005","02638 - MADRID 28029","02602 - TORREJON DE ARDOZ","ECOM","THE SERVICE GROUP PROCEDO","Pérdida","En gestión","DPTO SEGURIDAD BARAJAS","0 / 1","02-02-21","","","https://wilsonapp.tech/frontend/partes_perdida/edit/135003"
